ID.PrisonAg,Confirmed_Activities,Activity_Category,Activity_Subcategory
560,1,Horticulture & Landscaping,Horticulture Program
1014,1,Food Processing & Production,Food Processing
1018,1,Animal Agriculture,Equine
1019,1,Horticulture & Landscaping,Garden
1019,1,Horticulture & Landscaping,Flowers
1024,1,Crops & Silviculture,Crops
1026,1,Horticulture & Landscaping,Garden
1027,1,Horticulture & Landscaping,Garden
1028,1,Horticulture & Landscaping,Horticulture Program
1029,1,Horticulture & Landscaping,Garden
1032,1,Horticulture & Landscaping,Horticulture Program
1032,1,Horticulture & Landscaping,Garden
1032,1,Horticulture & Landscaping,Composting
1034,1,Horticulture & Landscaping,Horticulture Program
1034,1,Horticulture & Landscaping,Garden
1038,1,Horticulture & Landscaping,Garden
1039,1,Horticulture & Landscaping,Garden
1044,1,Horticulture & Landscaping,Garden
1046,1,Horticulture & Landscaping,Horticulture Program
1049,1,Horticulture & Landscaping,Garden
1055,1,Crops & Silviculture,Crops
1066,1,Horticulture & Landscaping,Garden
1068,1,Horticulture & Landscaping,Garden
1083,1,Horticulture & Landscaping,Horticulture Program
1084,1,Horticulture & Landscaping,Greenhouse
1084,1,Horticulture & Landscaping,Horticulture Program
1097,1,Horticulture & Landscaping,Horticulture Program
1098,1,Horticulture & Landscaping,Horticulture Program
1105,1,Horticulture & Landscaping,Garden
1105,1,Horticulture & Landscaping,Flowers
1105,1,Horticulture & Landscaping,Landscaping
1107,1,Horticulture & Landscaping,Garden
1107,1,Horticulture & Landscaping,Landscaping
1,1,Horticulture & Landscaping,Horticulture Program
2,1,Horticulture & Landscaping,Horticulture Program
2,1,Animal Agriculture,Equine
5,1,Horticulture & Landscaping,Horticulture Program
8,1,Horticulture & Landscaping,Horticulture Program
11,1,Horticulture & Landscaping,Horticulture Program
11,1,Crops & Silviculture,Crops
11,1,Animal Agriculture,Equine
11,1,Animal Agriculture,Livestock
12,1,Horticulture & Landscaping,Horticulture Program
17,1,Animal Agriculture,Equine
20,1,Horticulture & Landscaping,Garden
21,1,Horticulture & Landscaping,Garden
22,1,Horticulture & Landscaping,Garden
23,1,Horticulture & Landscaping,Garden
24,1,Food Processing & Production,Meat Processing
25,1,Horticulture & Landscaping,Flowers
26,1,Horticulture & Landscaping,Garden
27,1,Horticulture & Landscaping,Garden
27,1,Horticulture & Landscaping,Greenhouse
27,1,Horticulture & Landscaping,Therapy Garden
27,1,Food Processing & Production,State Central Kitchen
31,1,Horticulture & Landscaping,Flowers
31,1,Horticulture & Landscaping,House Plants
31,1,Horticulture & Landscaping,Therapy Garden
34,1,Crops & Silviculture,Crops
34,1,Animal Agriculture,Aquaculture
35,1,Horticulture & Landscaping,Horticulture Program
35,1,Horticulture & Landscaping,Greenhouse
35,1,Horticulture & Landscaping,Master Gardener Class
35,1,Horticulture & Landscaping,Flowers
35,1,Horticulture & Landscaping,Arboriculture
36,1,Horticulture & Landscaping,Garden
38,1,Horticulture & Landscaping,Garden
40,1,Horticulture & Landscaping,Therapy Garden
41,1,Horticulture & Landscaping,Greenhouse
41,1,Horticulture & Landscaping,Flowers
41,1,Horticulture & Landscaping,Garden
42,1,Horticulture & Landscaping,Garden
44,1,Horticulture & Landscaping,Garden
48,1,Horticulture & Landscaping,Garden
49,1,Horticulture & Landscaping,Greenhouse
49,1,Horticulture & Landscaping,Garden
