State,state,region,division,Confirmed Program,Program Category,cat_tot,facilities_confirmed_ag,pct_of_facilities_confirmed_ag,facilities_tot,pct_of_facilities_tot
Alabama,AL,South,East South Central,1,Horticulture,2,2,1,15,0.13333333333333333
Alaska,AK,West,Pacific,1,Food Production,1,5,0.2,12,0.08333333333333333
Alaska,AK,West,Pacific,1,Horticulture,5,5,1,12,0.4166666666666667
Arizona,AZ,West,Mountain,1,Horticulture,3,3,1,9,0.3333333333333333
Arkansas,AR,South,West South Central,1,Animal Agriculture,6,12,0.5,17,0.35294117647058826
Arkansas,AR,South,West South Central,1,Crops,6,12,0.5,17,0.35294117647058826
Arkansas,AR,South,West South Central,1,Food Production,3,12,0.25,17,0.17647058823529413
Arkansas,AR,South,West South Central,1,Horticulture,12,12,1,17,0.7058823529411765
California,CA,West,Pacific,1,Animal Agriculture,2,7,0.2857142857142857,35,0.05714285714285714
California,CA,West,Pacific,1,Crops,1,7,0.14285714285714285,35,0.02857142857142857
California,CA,West,Pacific,1,Food Production,1,7,0.14285714285714285,35,0.02857142857142857
California,CA,West,Pacific,1,Horticulture,3,7,0.42857142857142855,35,0.08571428571428572
California,CA,West,Pacific,1,Other,2,7,0.2857142857142857,35,0.05714285714285714
Colorado,CO,West,Mountain,1,Animal Agriculture,5,19,0.2631578947368421,19,0.2631578947368421
Colorado,CO,West,Mountain,1,Crops,3,19,0.15789473684210525,19,0.15789473684210525
Colorado,CO,West,Mountain,1,Horticulture,19,19,1,19,1
Connecticut,CT,Northeast,New England,1,Horticulture,3,3,1,12,0.25
Delaware,DE,South,South Atlantic,1,Horticulture,3,3,1,4,0.75
Florida,FL,South,South Atlantic,1,Animal Agriculture,3,36,0.08333333333333333,91,0.03296703296703297
Florida,FL,South,South Atlantic,1,Crops,23,36,0.6388888888888888,91,0.25274725274725274
Florida,FL,South,South Atlantic,1,Food Production,1,36,0.027777777777777776,91,0.01098901098901099
Florida,FL,South,South Atlantic,1,Horticulture,36,36,1,91,0.3956043956043956
Florida,FL,South,South Atlantic,1,Other,1,36,0.027777777777777776,91,0.01098901098901099
Georgia,GA,South,South Atlantic,1,Animal Agriculture,6,65,0.09230769230769231,65,0.09230769230769231
Georgia,GA,South,South Atlantic,1,Crops,8,65,0.12307692307692308,65,0.12307692307692308
Georgia,GA,South,South Atlantic,1,Food Production,6,65,0.09230769230769231,65,0.09230769230769231
Georgia,GA,South,South Atlantic,1,Horticulture,65,65,1,65,1
Hawaii,HI,West,Pacific,1,Animal Agriculture,2,3,0.6666666666666666,4,0.5
Hawaii,HI,West,Pacific,1,Horticulture,3,3,1,4,0.75
Idaho,ID,West,Mountain,1,Horticulture,7,7,1,9,0.7777777777777778
Idaho,ID,West,Mountain,1,Other,2,7,0.2857142857142857,9,0.2222222222222222
Illinois,IL,Midwest,East North Central,1,Food Production,2,17,0.11764705882352941,25,0.08
Illinois,IL,Midwest,East North Central,1,Horticulture,17,17,1,25,0.68
Indiana,IN,Midwest,East North Central,1,Horticulture,9,9,1,16,0.5625
Iowa,IA,Midwest,West North Central,1,Horticulture,7,7,1,9,0.7777777777777778
Kansas,KS,Midwest,West North Central,1,Animal Agriculture,1,5,0.2,8,0.125
Kansas,KS,Midwest,West North Central,1,Horticulture,4,5,0.8,8,0.5
Kentucky,KY,South,East South Central,1,Animal Agriculture,2,6,0.3333333333333333,12,0.16666666666666666
Kentucky,KY,South,East South Central,1,Crops,1,6,0.16666666666666666,12,0.08333333333333333
Kentucky,KY,South,East South Central,1,Horticulture,6,6,1,12,0.5
Louisiana,LA,South,West South Central,1,Animal Agriculture,5,8,0.625,9,0.5555555555555556
Louisiana,LA,South,West South Central,1,Crops,3,8,0.375,9,0.3333333333333333
Louisiana,LA,South,West South Central,1,Food Production,1,8,0.125,9,0.1111111111111111
Louisiana,LA,South,West South Central,1,Horticulture,4,8,0.5,9,0.4444444444444444
Maine,ME,Northeast,New England,1,Animal Agriculture,1,4,0.25,5,0.2
Maine,ME,Northeast,New England,1,Crops,2,4,0.5,5,0.4
Maine,ME,Northeast,New England,1,Horticulture,2,4,0.5,5,0.4
Maryland,MD,South,South Atlantic,1,Animal Agriculture,2,10,0.2,23,0.08695652173913043
Maryland,MD,South,South Atlantic,1,Crops,1,10,0.1,23,0.043478260869565216
Maryland,MD,South,South Atlantic,1,Food Production,1,10,0.1,23,0.043478260869565216
Maryland,MD,South,South Atlantic,1,Horticulture,7,10,0.7,23,0.30434782608695654
Maryland,MD,South,South Atlantic,1,Other,1,10,0.1,23,0.043478260869565216
Massachusetts,MA,Northeast,New England,1,Horticulture,9,9,1,16,0.5625
Michigan,MI,Midwest,East North Central,1,Horticulture,16,20,0.8,31,0.5161290322580645
Michigan,MI,Midwest,East North Central,1,Other,9,20,0.45,31,0.2903225806451613
Minnesota,MN,Midwest,West North Central,1,Animal Agriculture,3,8,0.375,13,0.23076923076923078
Minnesota,MN,Midwest,West North Central,1,Crops,3,8,0.375,13,0.23076923076923078
Minnesota,MN,Midwest,West North Central,1,Food Production,1,8,0.125,13,0.07692307692307693
Minnesota,MN,Midwest,West North Central,1,Horticulture,8,8,1,13,0.6153846153846154
Mississippi,MS,South,East South Central,1,Crops,2,3,0.6666666666666666,3,0.6666666666666666
Mississippi,MS,South,East South Central,1,Horticulture,1,3,0.3333333333333333,3,0.3333333333333333
Missouri,MO,Midwest,West North Central,1,Animal Agriculture,2,22,0.09090909090909091,32,0.0625
Missouri,MO,Midwest,West North Central,1,Crops,1,22,0.045454545454545456,32,0.03125
Missouri,MO,Midwest,West North Central,1,Food Production,2,22,0.09090909090909091,32,0.0625
Missouri,MO,Midwest,West North Central,1,Horticulture,22,22,1,32,0.6875
Missouri,MO,Midwest,West North Central,1,Other,1,22,0.045454545454545456,32,0.03125
Montana,MT,West,Mountain,1,Horticulture,1,1,1,2,0.5
Nebraska,NE,Midwest,West North Central,1,Horticulture,5,5,1,9,0.5555555555555556
Nebraska,NE,Midwest,West North Central,1,Other,1,5,0.2,9,0.1111111111111111
Nevada,NV,West,Mountain,1,Animal Agriculture,1,7,0.14285714285714285,19,0.05263157894736842
Nevada,NV,West,Mountain,1,Crops,3,7,0.42857142857142855,19,0.15789473684210525
Nevada,NV,West,Mountain,1,Horticulture,5,7,0.7142857142857143,19,0.2631578947368421
New Hampshire,NH,Northeast,New England,1,Horticulture,1,1,1,7,0.14285714285714285
New Jersey,NJ,Northeast,Middle Atlantic,1,Animal Agriculture,2,6,0.3333333333333333,11,0.18181818181818182
New Jersey,NJ,Northeast,Middle Atlantic,1,Food Production,1,6,0.16666666666666666,11,0.09090909090909091
New Jersey,NJ,Northeast,Middle Atlantic,1,Horticulture,6,6,1,11,0.5454545454545454
New Mexico,NM,West,Mountain,1,Horticulture,1,1,1,6,0.16666666666666666
New York,NY,Northeast,Middle Atlantic,1,Animal Agriculture,1,29,0.034482758620689655,51,0.0196078431372549
New York,NY,Northeast,Middle Atlantic,1,Horticulture,29,29,1,51,0.5686274509803921
North Carolina,NC,South,South Atlantic,1,Crops,8,25,0.32,55,0.14545454545454545
North Carolina,NC,South,South Atlantic,1,Food Production,2,25,0.08,55,0.03636363636363636
North Carolina,NC,South,South Atlantic,1,Horticulture,23,25,0.92,55,0.41818181818181815
North Dakota,ND,Midwest,West North Central,1,Horticulture,3,3,1,3,1
Ohio,OH,Midwest,East North Central,1,Animal Agriculture,2,22,0.09090909090909091,27,0.07407407407407407
Ohio,OH,Midwest,East North Central,1,Food Production,5,22,0.22727272727272727,27,0.18518518518518517
Ohio,OH,Midwest,East North Central,1,Horticulture,19,22,0.8636363636363636,27,0.7037037037037037
Ohio,OH,Midwest,East North Central,1,Other,1,22,0.045454545454545456,27,0.037037037037037035
Oklahoma,OK,South,West South Central,1,Animal Agriculture,10,15,0.6666666666666666,24,0.4166666666666667
Oklahoma,OK,South,West South Central,1,Crops,10,15,0.6666666666666666,24,0.4166666666666667
Oklahoma,OK,South,West South Central,1,Food Production,2,15,0.13333333333333333,24,0.08333333333333333
Oklahoma,OK,South,West South Central,1,Horticulture,5,15,0.3333333333333333,24,0.20833333333333334
Oklahoma,OK,South,West South Central,1,Other,2,15,0.13333333333333333,24,0.08333333333333333
Oregon,OR,West,Pacific,1,Animal Agriculture,1,14,0.07142857142857142,14,0.07142857142857142
Oregon,OR,West,Pacific,1,Crops,1,14,0.07142857142857142,14,0.07142857142857142
Oregon,OR,West,Pacific,1,Horticulture,7,14,0.5,14,0.5
Oregon,OR,West,Pacific,1,Other,7,14,0.5,14,0.5
Pennsylvania,PA,Northeast,Middle Atlantic,1,Animal Agriculture,3,10,0.3,25,0.12
Pennsylvania,PA,Northeast,Middle Atlantic,1,Crops,1,10,0.1,25,0.04
Pennsylvania,PA,Northeast,Middle Atlantic,1,Horticulture,9,10,0.9,25,0.36
Rhode Island,RI,Northeast,New England,1,Horticulture,1,1,1,7,0.14285714285714285
South Carolina,SC,South,South Atlantic,1,Animal Agriculture,8,18,0.4444444444444444,22,0.36363636363636365
South Carolina,SC,South,South Atlantic,1,Crops,9,18,0.5,22,0.4090909090909091
South Carolina,SC,South,South Atlantic,1,Food Production,1,18,0.05555555555555555,22,0.045454545454545456
South Carolina,SC,South,South Atlantic,1,Horticulture,18,18,1,22,0.8181818181818182
South Dakota,SD,Midwest,West North Central,1,Horticulture,2,2,1,6,0.3333333333333333
Tennessee,TN,South,East South Central,1,Animal Agriculture,1,5,0.2,11,0.09090909090909091
Tennessee,TN,South,East South Central,1,Crops,2,5,0.4,11,0.18181818181818182
Tennessee,TN,South,East South Central,1,Horticulture,5,5,1,11,0.45454545454545453
Texas,TX,South,West South Central,1,Animal Agriculture,63,85,0.7411764705882353,92,0.6847826086956522
Texas,TX,South,West South Central,1,Crops,47,85,0.5529411764705883,92,0.5108695652173914
Texas,TX,South,West South Central,1,Food Production,8,85,0.09411764705882353,92,0.08695652173913043
Texas,TX,South,West South Central,1,Horticulture,65,85,0.7647058823529411,92,0.7065217391304348
Utah,UT,West,Mountain,1,Horticulture,1,1,1,2,0.5
Vermont,VT,Northeast,New England,1,Horticulture,3,3,1,6,0.5
Virginia,VA,South,South Atlantic,1,Animal Agriculture,19,27,0.7037037037037037,38,0.5
Virginia,VA,South,South Atlantic,1,Crops,21,27,0.7777777777777778,38,0.5526315789473685
Virginia,VA,South,South Atlantic,1,Food Production,2,27,0.07407407407407407,38,0.05263157894736842
Virginia,VA,South,South Atlantic,1,Horticulture,23,27,0.8518518518518519,38,0.6052631578947368
Washington,WA,West,Pacific,1,Animal Agriculture,11,12,0.9166666666666666,12,0.9166666666666666
Washington,WA,West,Pacific,1,Crops,4,12,0.3333333333333333,12,0.3333333333333333
Washington,WA,West,Pacific,1,Horticulture,12,12,1,12,1
West Virginia,WV,South,South Atlantic,1,Crops,3,8,0.375,13,0.23076923076923078
West Virginia,WV,South,South Atlantic,1,Horticulture,8,8,1,13,0.6153846153846154
Wisconsin,WI,Midwest,East North Central,1,Animal Agriculture,2,5,0.4,36,0.05555555555555555
Wisconsin,WI,Midwest,East North Central,1,Crops,1,5,0.2,36,0.027777777777777776
Wisconsin,WI,Midwest,East North Central,1,Food Production,1,5,0.2,36,0.027777777777777776
Wisconsin,WI,Midwest,East North Central,1,Horticulture,3,5,0.6,36,0.08333333333333333
Wyoming,WY,West,Mountain,1,Horticulture,3,3,1,5,0.6
