State,region,division,Confirmed Activities,facilities_tot
Alabama,South,East South Central,1,2
Alabama,South,East South Central,NA,13
Alaska,West,Pacific,0,5
Alaska,West,Pacific,1,5
Alaska,West,Pacific,NA,2
Arizona,West,Mountain,0,6
Arizona,West,Mountain,1,3
Arkansas,South,West South Central,0,4
Arkansas,South,West South Central,1,13
California,West,Pacific,0,8
California,West,Pacific,1,13
California,West,Pacific,NA,14
Colorado,West,Mountain,1,19
Connecticut,Northeast,New England,0,7
Connecticut,Northeast,New England,1,4
Connecticut,Northeast,New England,NA,1
Delaware,South,South Atlantic,0,1
Delaware,South,South Atlantic,1,3
Florida,South,South Atlantic,0,9
Florida,South,South Atlantic,1,36
Florida,South,South Atlantic,NA,46
Georgia,South,South Atlantic,1,65
Hawaii,West,Pacific,1,3
Hawaii,West,Pacific,NA,1
Idaho,West,Mountain,1,7
Idaho,West,Mountain,NA,2
Illinois,Midwest,East North Central,0,5
Illinois,Midwest,East North Central,1,18
Illinois,Midwest,East North Central,NA,2
Indiana,Midwest,East North Central,0,3
Indiana,Midwest,East North Central,1,9
Indiana,Midwest,East North Central,NA,4
Iowa,Midwest,West North Central,1,8
Iowa,Midwest,West North Central,NA,1
Kansas,Midwest,West North Central,0,3
Kansas,Midwest,West North Central,1,5
Kentucky,South,East South Central,1,12
Louisiana,South,West South Central,1,9
Maine,Northeast,New England,1,5
Maryland,South,South Atlantic,0,7
Maryland,South,South Atlantic,1,10
Maryland,South,South Atlantic,NA,6
Massachusetts,Northeast,New England,0,3
Massachusetts,Northeast,New England,1,13
Michigan,Midwest,East North Central,0,5
Michigan,Midwest,East North Central,1,20
Michigan,Midwest,East North Central,NA,6
Minnesota,Midwest,West North Central,0,2
Minnesota,Midwest,West North Central,1,8
Minnesota,Midwest,West North Central,NA,3
Mississippi,South,East South Central,1,3
Missouri,Midwest,West North Central,0,4
Missouri,Midwest,West North Central,1,22
Missouri,Midwest,West North Central,NA,6
Montana,West,Mountain,0,1
Montana,West,Mountain,1,1
Nebraska,Midwest,West North Central,0,1
Nebraska,Midwest,West North Central,1,5
Nebraska,Midwest,West North Central,NA,3
Nevada,West,Mountain,0,11
Nevada,West,Mountain,1,8
New Hampshire,Northeast,New England,0,1
New Hampshire,Northeast,New England,1,1
New Hampshire,Northeast,New England,NA,5
New Jersey,Northeast,Middle Atlantic,0,5
New Jersey,Northeast,Middle Atlantic,1,6
New Mexico,West,Mountain,0,3
New Mexico,West,Mountain,1,3
New York,Northeast,Middle Atlantic,0,15
New York,Northeast,Middle Atlantic,1,36
North Carolina,South,South Atlantic,0,8
North Carolina,South,South Atlantic,1,47
North Dakota,Midwest,West North Central,1,3
Ohio,Midwest,East North Central,0,5
Ohio,Midwest,East North Central,1,22
Oklahoma,South,West South Central,0,9
Oklahoma,South,West South Central,1,15
Oregon,West,Pacific,1,14
Pennsylvania,Northeast,Middle Atlantic,0,12
Pennsylvania,Northeast,Middle Atlantic,1,13
Rhode Island,Northeast,New England,0,1
Rhode Island,Northeast,New England,1,3
Rhode Island,Northeast,New England,NA,3
South Carolina,South,South Atlantic,0,3
South Carolina,South,South Atlantic,1,19
South Dakota,Midwest,West North Central,0,4
South Dakota,Midwest,West North Central,1,2
Tennessee,South,East South Central,0,4
Tennessee,South,East South Central,1,5
Tennessee,South,East South Central,NA,2
Texas,South,West South Central,0,5
Texas,South,West South Central,1,87
Utah,West,Mountain,0,1
Utah,West,Mountain,1,1
Vermont,Northeast,New England,0,2
Vermont,Northeast,New England,1,3
Vermont,Northeast,New England,NA,1
Virginia,South,South Atlantic,0,11
Virginia,South,South Atlantic,1,27
Washington,West,Pacific,1,12
West Virginia,South,South Atlantic,1,11
West Virginia,South,South Atlantic,NA,2
Wisconsin,Midwest,East North Central,0,26
Wisconsin,Midwest,East North Central,1,10
Wisconsin,Midwest,East North Central,NA,1
Wyoming,West,Mountain,0,2
Wyoming,West,Mountain,1,3
