State,state,region,division,facilities_tot,facilities_confirmed_ag,pct
Alabama,AL,South,East South Central,26,3,0.11538461538461539
Alaska,AK,West,Pacific,12,10,0.8333333333333334
Arizona,AZ,West,Mountain,10,5,0.5
Arkansas,AR,South,West South Central,26,15,0.5769230769230769
California,CA,West,Pacific,35,10,0.2857142857142857
Colorado,CO,West,Mountain,18,18,1
Connecticut,CT,Northeast,New England,13,4,0.3076923076923077
Delaware,DE,South,South Atlantic,9,5,0.5555555555555556
Florida,FL,South,South Atlantic,100,29,0.29
Georgia,GA,South,South Atlantic,65,54,0.8307692307692308
Hawaii,HI,West,Pacific,8,4,0.5
Idaho,ID,West,Mountain,13,12,0.9230769230769231
Illinois,IL,Midwest,East North Central,43,30,0.6976744186046512
Indiana,IN,Midwest,East North Central,16,9,0.5625
Iowa,IA,Midwest,West North Central,9,9,1
Kansas,KS,Midwest,West North Central,9,5,0.5555555555555556
Kentucky,KY,South,East South Central,12,6,0.5
Louisiana,LA,South,West South Central,9,8,0.8888888888888888
Maine,ME,Northeast,New England,5,4,0.8
Maryland,MD,South,South Atlantic,23,12,0.5217391304347826
Massachusetts,MA,Northeast,New England,16,9,0.5625
Michigan,MI,Midwest,East North Central,31,16,0.5161290322580645
Minnesota,MN,Midwest,West North Central,13,9,0.6923076923076923
Mississippi,MS,South,East South Central,10,3,0.3
Missouri,MO,Midwest,West North Central,32,22,0.6875
Montana,MT,West,Mountain,2,2,1
Nebraska,NE,Midwest,West North Central,9,6,0.6666666666666666
Nevada,NV,West,Mountain,19,7,0.3684210526315789
New Hampshire,NH,Northeast,New England,7,1,0.14285714285714285
New Jersey,NJ,Northeast,Middle Atlantic,11,6,0.5454545454545454
New Mexico,NM,West,Mountain,7,3,0.42857142857142855
New York,NY,Northeast,Middle Atlantic,53,27,0.5094339622641509
North Carolina,NC,South,South Atlantic,55,26,0.4727272727272727
North Dakota,ND,Midwest,West North Central,3,3,1
Ohio,OH,Midwest,East North Central,27,22,0.8148148148148148
Oklahoma,OK,South,West South Central,24,14,0.5833333333333334
Oregon,OR,West,Pacific,14,14,1
Pennsylvania,PA,Northeast,Middle Atlantic,36,12,0.3333333333333333
Rhode Island,RI,Northeast,New England,6,3,0.5
South Carolina,SC,South,South Atlantic,22,18,0.8181818181818182
South Dakota,SD,Midwest,West North Central,6,2,0.3333333333333333
Tennessee,TN,South,East South Central,12,6,0.5
Texas,TX,South,West South Central,93,86,0.9247311827956989
Utah,UT,West,Mountain,2,1,0.5
Vermont,VT,Northeast,New England,6,3,0.5
Virginia,VA,South,South Atlantic,45,29,0.6444444444444445
Washington,WA,West,Pacific,12,12,1
West Virginia,WV,South,South Atlantic,24,8,0.3333333333333333
Wisconsin,WI,Midwest,East North Central,37,25,0.6756756756756757
Wyoming,WY,West,Mountain,5,3,0.6
