region,division,Confirmed Activities,Activity Category,facilities_confirmed_ag
Midwest,East North Central,1,Animal Agriculture,9
Midwest,East North Central,1,Crops & Silviculture,3
Midwest,East North Central,1,Food Processing & Production,8
Midwest,East North Central,1,Horticulture & Landscaping,100
Midwest,West North Central,1,Animal Agriculture,12
Midwest,West North Central,1,Crops & Silviculture,10
Midwest,West North Central,1,Food Processing & Production,4
Midwest,West North Central,1,Horticulture & Landscaping,54
Northeast,New England,1,Animal Agriculture,1
Northeast,New England,1,Crops & Silviculture,2
Northeast,New England,1,Horticulture & Landscaping,22
Northeast,Middle Atlantic,1,Animal Agriculture,6
Northeast,Middle Atlantic,1,Crops & Silviculture,1
Northeast,Middle Atlantic,1,Food Processing & Production,3
Northeast,Middle Atlantic,1,Horticulture & Landscaping,44
South,South Atlantic,1,Animal Agriculture,44
South,South Atlantic,1,Crops & Silviculture,73
South,South Atlantic,1,Food Processing & Production,15
South,South Atlantic,1,Horticulture & Landscaping,146
South,East South Central,1,Animal Agriculture,3
South,East South Central,1,Crops & Silviculture,7
South,East South Central,1,Horticulture & Landscaping,16
South,West South Central,1,Animal Agriculture,85
South,West South Central,1,Crops & Silviculture,66
South,West South Central,1,Food Processing & Production,15
South,West South Central,1,Horticulture & Landscaping,92
West,Mountain,1,Animal Agriculture,13
West,Mountain,1,Crops & Silviculture,13
West,Mountain,1,Food Processing & Production,9
West,Mountain,1,Horticulture & Landscaping,47
West,Pacific,1,Animal Agriculture,20
West,Pacific,1,Crops & Silviculture,11
West,Pacific,1,Food Processing & Production,16
West,Pacific,1,Horticulture & Landscaping,39
