region,division,Confirmed Activities,Activity Category,Subcategory,facilities_confirmed_ag
Midwest,East North Central,1,Animal Agriculture,aquaculture,1
Midwest,East North Central,1,Animal Agriculture,beekeeping,3
Midwest,East North Central,1,Animal Agriculture,dairy,2
Midwest,East North Central,1,Animal Agriculture,equine,1
Midwest,East North Central,1,Animal Agriculture,pheasant,3
Midwest,East North Central,1,Crops & Silviculture,crops,2
Midwest,East North Central,1,Crops & Silviculture,orchard,1
Midwest,East North Central,1,Food Processing & Production,dairy processing,2
Midwest,East North Central,1,Food Processing & Production,food processing,2
Midwest,East North Central,1,Food Processing & Production,food production,1
Midwest,East North Central,1,Food Processing & Production,juice production,1
Midwest,East North Central,1,Food Processing & Production,meat processing,1
Midwest,East North Central,1,Food Processing & Production,spice production,1
Midwest,East North Central,1,Food Processing & Production,unspecified food production,3
Midwest,East North Central,1,Horticulture & Landscaping,composting,9
Midwest,East North Central,1,Horticulture & Landscaping,farmers market,1
Midwest,East North Central,1,Horticulture & Landscaping,flowers,8
Midwest,East North Central,1,Horticulture & Landscaping,garden,68
Midwest,East North Central,1,Horticulture & Landscaping,greenhouse,10
Midwest,East North Central,1,Horticulture & Landscaping,horticulture program,40
Midwest,East North Central,1,Horticulture & Landscaping,hydroponics,1
Midwest,East North Central,1,Horticulture & Landscaping,landscaping,15
Midwest,East North Central,1,Horticulture & Landscaping,master gardener class,4
Midwest,East North Central,1,Horticulture & Landscaping,pest management,3
Midwest,East North Central,1,Horticulture & Landscaping,plant starters,1
Midwest,East North Central,1,Horticulture & Landscaping,pollinator garden,1
Midwest,East North Central,1,Horticulture & Landscaping,therapy garden,1
Midwest,East North Central,1,Horticulture & Landscaping,turf management,1
Midwest,East North Central,1,Horticulture & Landscaping,vegetable starters,1
Midwest,West North Central,1,Animal Agriculture,beekeeping,5
Midwest,West North Central,1,Animal Agriculture,butterfly hatchery,1
Midwest,West North Central,1,Animal Agriculture,eggs,1
Midwest,West North Central,1,Animal Agriculture,livestock,4
Midwest,West North Central,1,Animal Agriculture,poultry,1
Midwest,West North Central,1,Crops & Silviculture,crops,6
Midwest,West North Central,1,Crops & Silviculture,orchard,4
Midwest,West North Central,1,Crops & Silviculture,silviculture,1
Midwest,West North Central,1,Food Processing & Production,egg processing,1
Midwest,West North Central,1,Food Processing & Production,food processing,2
Midwest,West North Central,1,Food Processing & Production,honey production,1
Midwest,West North Central,1,Horticulture & Landscaping,aquaponics,1
Midwest,West North Central,1,Horticulture & Landscaping,arboriculture,1
Midwest,West North Central,1,Horticulture & Landscaping,composting,5
Midwest,West North Central,1,Horticulture & Landscaping,flowers,7
Midwest,West North Central,1,Horticulture & Landscaping,garden,50
Midwest,West North Central,1,Horticulture & Landscaping,gardening enterprise course,1
Midwest,West North Central,1,Horticulture & Landscaping,greenhouse,12
Midwest,West North Central,1,Horticulture & Landscaping,horticulture program,4
Midwest,West North Central,1,Horticulture & Landscaping,hydroponics,1
Midwest,West North Central,1,Horticulture & Landscaping,landscaping,10
Midwest,West North Central,1,Horticulture & Landscaping,master gardener class,1
Midwest,West North Central,1,Horticulture & Landscaping,nursery,1
Midwest,West North Central,1,Horticulture & Landscaping,pest management,4
Midwest,West North Central,1,Horticulture & Landscaping,pollinator garden,7
Midwest,West North Central,1,Horticulture & Landscaping,shrubs,1
Northeast,New England,1,Animal Agriculture,livestock,1
Northeast,New England,1,Crops & Silviculture,crops,2
Northeast,New England,1,Horticulture & Landscaping,composting,1
Northeast,New England,1,Horticulture & Landscaping,flowers,1
Northeast,New England,1,Horticulture & Landscaping,garden,15
Northeast,New England,1,Horticulture & Landscaping,greenhouse,4
Northeast,New England,1,Horticulture & Landscaping,horticulture program,8
Northeast,New England,1,Horticulture & Landscaping,landscaping,6
Northeast,New England,1,Horticulture & Landscaping,master gardener class,1
Northeast,New England,1,Horticulture & Landscaping,native species,1
Northeast,Middle Atlantic,1,Animal Agriculture,dairy,2
Northeast,Middle Atlantic,1,Animal Agriculture,equine,1
Northeast,Middle Atlantic,1,Animal Agriculture,livestock,3
Northeast,Middle Atlantic,1,Crops & Silviculture,crops,1
