state,region,Confirmed Program,Program Category,Subcategory,prisons_tot
AK,West,1,Food Production,other: seafood handling,1
AK,West,1,Horticulture,garden,4
AK,West,1,Horticulture,greenhouse,1
AK,West,1,Horticulture,horticulture program,1
AK,West,1,Horticulture,unspecified horticulture,1
AL,South,1,Horticulture,garden,1
AL,South,1,Horticulture,horticulture program,1
AR,South,1,Animal Agriculture,beekeeping,3
AR,South,1,Animal Agriculture,dairy,2
AR,South,1,Animal Agriculture,horses,1
AR,South,1,Animal Agriculture,livestock,3
AR,South,1,Animal Agriculture,poultry,1
AR,South,1,Crops,crops,5
AR,South,1,Crops,orchard,1
AR,South,1,Food Production,coffee and tea,1
AR,South,1,Food Production,food processing,1
AR,South,1,Food Production,slaughterhouse,1
AR,South,1,Horticulture,garden,12
AR,South,1,Horticulture,greenhouse,1
AZ,West,1,Horticulture,garden,1
AZ,West,1,Horticulture,unspecified horticulture,2
CA,West,1,Animal Agriculture,dairy,1
CA,West,1,Animal Agriculture,dairy processing,1
CA,West,1,Crops,crops,1
CA,West,1,Food Production,dairy processing,1
CA,West,1,Horticulture,horticulture program,2
CA,West,1,Horticulture,landscaping,2
CA,West,1,Other,unspecified agriculture,1
CA,West,1,Other,unspecified farm enterprise,1
CO,West,1,Animal Agriculture,aquaculture,1
CO,West,1,Animal Agriculture,beekeeping,3
CO,West,1,Animal Agriculture,dairy,2
CO,West,1,Animal Agriculture,horses,1
CO,West,1,Animal Agriculture,poultry,1
CO,West,1,Crops,crops,3
CO,West,1,Crops,orchard,1
CO,West,1,Crops,vineyard,1
CO,West,1,Horticulture,composting,1
CO,West,1,Horticulture,flower garden,1
CO,West,1,Horticulture,greenhouse,2
CO,West,1,Horticulture,landscaping,19
CT,Northeast,1,Horticulture,unspecified horticulture,3
DE,South,1,Horticulture,garden,1
DE,South,1,Horticulture,other: flower sales,1
DE,South,1,Horticulture,unspecified horticulture,1
FL,South,1,Animal Agriculture,beekeeping,1
FL,South,1,Animal Agriculture,livestock,2
FL,South,1,Crops,crops,22
FL,South,1,Crops,hayproduction,1
FL,South,1,Crops,silviculture,1
FL,South,1,Food Production,slaughterhouse,1
FL,South,1,Horticulture,flower garden,1
FL,South,1,Horticulture,greenhouse,1
FL,South,1,Horticulture,grounds keeping,36
FL,South,1,Horticulture,landscaping,2
FL,South,1,Horticulture,nursery,1
FL,South,1,Other,chemical application certification,1
GA,South,1,Animal Agriculture,beekeeping,2
GA,South,1,Animal Agriculture,dairy,2
GA,South,1,Animal Agriculture,livestock,4
GA,South,1,Animal Agriculture,poultry,2
GA,South,1,Crops,crops,8
GA,South,1,Food Production,cannery,2
GA,South,1,Food Production,feed mill,4
GA,South,1,Food Production,food processing,1
GA,South,1,Food Production,food procseesing,1
GA,South,1,Food Production,meat processing,1
GA,South,1,Horticulture,groundskeeping,68
GA,South,1,Horticulture,horticulture,1
GA,South,1,Horticulture,horticulture program,34
GA,South,1,Horticulture,horticulture programl groundskeeping,1
GA,South,1,Horticulture,landscaping,27
HI,West,1,Animal Agriculture,aquaculture,1
HI,West,1,Animal Agriculture,livestock,1
HI,West,1,Horticulture,farm,1
HI,West,1,Horticulture,horticulture program,2
HI,West,1,Horticulture,landscaping,1
HI,West,1,Horticulture,nursery,1
IA,North Central,1,Horticulture,farm,1
IA,North Central,1,Horticulture,garden,2
IA,North Central,1,Horticulture,landscaping,1
IA,North Central,1,Horticulture,unspecified horticulture,3
