Activity Category,Subcategory,facilities_confirmed_ag
Horticulture & Landscaping,garden,301
Horticulture & Landscaping,horticulture program,200
Crops & Silviculture,crops,164
Animal Agriculture,livestock,122
Horticulture & Landscaping,landscaping,96
Horticulture & Landscaping,greenhouse,87
Horticulture & Landscaping,composting,45
Horticulture & Landscaping,flowers,39
Animal Agriculture,beekeeping,38
Food Processing & Production,food processing,18
Animal Agriculture,dairy,17
Crops & Silviculture,silviculture,16
Animal Agriculture,equine,13
Crops & Silviculture,orchard,13
Food Processing & Production,dairy processing,13
Animal Agriculture,poultry,11
Food Processing & Production,feed mill,11
Food Processing & Production,meat processing,10
Horticulture & Landscaping,master gardener class,10
Horticulture & Landscaping,pest management,10
Animal Agriculture,aquaculture,9
Food Processing & Production,seafood handling,9
Horticulture & Landscaping,pollinator garden,9
Crops & Silviculture,firewood,8
Horticulture & Landscaping,sagebrush cultivation,8
Horticulture & Landscaping,hydroponics,6
Food Processing & Production,cannery,5
Food Processing & Production,egg processing,5
Horticulture & Landscaping,nursery,5
Animal Agriculture,eggs,4
Food Processing & Production,food and beverage packaging,4
Animal Agriculture,pheasant,3
Food Processing & Production,food distribution,3
Food Processing & Production,unspecified food production,3
Horticulture & Landscaping,native species,3
Horticulture & Landscaping,therapy garden,3
Animal Agriculture,butterfly hatchery,2
Food Processing & Production,slaughterhouse,2
Horticulture & Landscaping,aquaponics,2
Horticulture & Landscaping,arboriculture,2
Animal Agriculture,herd management,1
Animal Agriculture,poultry production course,1
Animal Agriculture,reproductive management,1
Animal Agriculture,wild horses,1
Crops & Silviculture,chemical application certification,1
Crops & Silviculture,land management,1
Crops & Silviculture,pesticide management,1
Crops & Silviculture,plant science,1
Crops & Silviculture,vineyard,1
Food Processing & Production,animal feed packaging,1
Food Processing & Production,coffee and tea,1
Food Processing & Production,coffee roasting,1
Food Processing & Production,food production,1
Food Processing & Production,honey production,1
Food Processing & Production,juice production,1
Food Processing & Production,meat cutting,1
Food Processing & Production,spice production,1
Food Processing & Production,state central kitchen,1
Horticulture & Landscaping,arboriculture training,1
Horticulture & Landscaping,farmers market,1
Horticulture & Landscaping,gardening enterprise course,1
Horticulture & Landscaping,greenhouse construction course,1
Horticulture & Landscaping,house plants,1
Horticulture & Landscaping,plant starters,1
Horticulture & Landscaping,shrubs,1
Horticulture & Landscaping,sustainable food production course,1
Horticulture & Landscaping,turf management,1
Horticulture & Landscaping,vegetable starters,1
