State,state,region,division,Confirmed Activities,Activity Category,cat_tot,facilities_confirmed_ag,pct_of_facilities_confirmed_ag,facilities_tot,pct_of_facilities_tot
Alabama,AL,South,East South Central,1,Crops & Silviculture,1,3,0.3333333333333333,26,0.038461538461538464
Alabama,AL,South,East South Central,1,Horticulture & Landscaping,2,3,0.6666666666666666,26,0.07692307692307693
Alaska,AK,West,Pacific,1,Animal Agriculture,1,10,0.1,12,0.08333333333333333
Alaska,AK,West,Pacific,1,Crops & Silviculture,1,10,0.1,12,0.08333333333333333
Alaska,AK,West,Pacific,1,Food Processing & Production,9,10,0.9,12,0.75
Alaska,AK,West,Pacific,1,Horticulture & Landscaping,6,10,0.6,12,0.5
Arizona,AZ,West,Mountain,1,Animal Agriculture,3,5,0.6,10,0.3
Arizona,AZ,West,Mountain,1,Crops & Silviculture,1,5,0.2,10,0.1
Arizona,AZ,West,Mountain,1,Food Processing & Production,4,5,0.8,10,0.4
Arizona,AZ,West,Mountain,1,Horticulture & Landscaping,3,5,0.6,10,0.3
Arkansas,AR,South,West South Central,1,Animal Agriculture,6,15,0.4,26,0.23076923076923078
Arkansas,AR,South,West South Central,1,Crops & Silviculture,6,15,0.4,26,0.23076923076923078
Arkansas,AR,South,West South Central,1,Food Processing & Production,3,15,0.2,26,0.11538461538461539
Arkansas,AR,South,West South Central,1,Horticulture & Landscaping,15,15,1,26,0.5769230769230769
California,CA,West,Pacific,1,Animal Agriculture,3,10,0.3,35,0.08571428571428572
California,CA,West,Pacific,1,Crops & Silviculture,2,10,0.2,35,0.05714285714285714
California,CA,West,Pacific,1,Food Processing & Production,5,10,0.5,35,0.14285714285714285
California,CA,West,Pacific,1,Horticulture & Landscaping,4,10,0.4,35,0.11428571428571428
Colorado,CO,West,Mountain,1,Animal Agriculture,5,18,0.2777777777777778,18,0.2777777777777778
Colorado,CO,West,Mountain,1,Crops & Silviculture,3,18,0.16666666666666666,18,0.16666666666666666
Colorado,CO,West,Mountain,1,Food Processing & Production,1,18,0.05555555555555555,18,0.05555555555555555
Colorado,CO,West,Mountain,1,Horticulture & Landscaping,18,18,1,18,1
Connecticut,CT,Northeast,New England,1,Horticulture & Landscaping,4,4,1,13,0.3076923076923077
Delaware,DE,South,South Atlantic,1,Animal Agriculture,2,5,0.4,9,0.2222222222222222
Delaware,DE,South,South Atlantic,1,Horticulture & Landscaping,4,5,0.8,9,0.4444444444444444
Florida,FL,South,South Atlantic,1,Animal Agriculture,4,29,0.13793103448275862,100,0.04
Florida,FL,South,South Atlantic,1,Crops & Silviculture,23,29,0.7931034482758621,100,0.23
Florida,FL,South,South Atlantic,1,Food Processing & Production,1,29,0.034482758620689655,100,0.01
Florida,FL,South,South Atlantic,1,Horticulture & Landscaping,4,29,0.13793103448275862,100,0.04
Georgia,GA,South,South Atlantic,1,Animal Agriculture,6,54,0.1111111111111111,65,0.09230769230769231
Georgia,GA,South,South Atlantic,1,Crops & Silviculture,8,54,0.14814814814814814,65,0.12307692307692308
Georgia,GA,South,South Atlantic,1,Food Processing & Production,6,54,0.1111111111111111,65,0.09230769230769231
Georgia,GA,South,South Atlantic,1,Horticulture & Landscaping,53,54,0.9814814814814815,65,0.8153846153846154
Hawaii,HI,West,Pacific,1,Animal Agriculture,3,4,0.75,8,0.375
Hawaii,HI,West,Pacific,1,Crops & Silviculture,2,4,0.5,8,0.25
Hawaii,HI,West,Pacific,1,Horticulture & Landscaping,3,4,0.75,8,0.375
Idaho,ID,West,Mountain,1,Crops & Silviculture,3,12,0.25,13,0.23076923076923078
Idaho,ID,West,Mountain,1,Food Processing & Production,3,12,0.25,13,0.23076923076923078
Idaho,ID,West,Mountain,1,Horticulture & Landscaping,12,12,1,13,0.9230769230769231
Illinois,IL,Midwest,East North Central,1,Animal Agriculture,1,30,0.03333333333333333,43,0.023255813953488372
Illinois,IL,Midwest,East North Central,1,Food Processing & Production,2,30,0.06666666666666667,43,0.046511627906976744
Illinois,IL,Midwest,East North Central,1,Horticulture & Landscaping,30,30,1,43,0.6976744186046512
Indiana,IN,Midwest,East North Central,1,Horticulture & Landscaping,9,9,1,16,0.5625
Iowa,IA,Midwest,West North Central,1,Animal Agriculture,6,9,0.6666666666666666,9,0.6666666666666666
Iowa,IA,Midwest,West North Central,1,Crops & Silviculture,6,9,0.6666666666666666,9,0.6666666666666666
